epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,818.968,1.0916,1.51947,1.87514,0.97296,0.25885,0.60849,0.36396,0.30667,0.25885,0.60849,0.36396,0.20319,0.68003,0.77843,1.7709,0.80909,0.000272795,0.000272795,0.000272795
2,1570.72,1.022,1.48211,1.81966,0.9573,0.24982,0.63446,0.37193,0.31355,0.24982,0.63446,0.37193,0.20745,0.66546,0.75957,1.72388,0.80764,0.000545012,0.000545012,0.000545012
3,2324.57,1.00485,1.43971,1.74108,0.9556,0.27251,0.63251,0.36366,0.30787,0.27251,0.63251,0.36366,0.20018,0.66106,0.74773,1.77562,0.80559,0.000811732,0.000811732,0.000811732
4,3088.58,0.99324,1.43252,1.71637,0.95532,0.52525,0.50103,0.38836,0.32868,0.52525,0.50103,0.38836,0.21473,0.66151,0.74753,1.67833,0.80663,0.00080826,0.00080826,0.00080826
5,3851.22,1.00928,1.42085,1.74406,0.94814,0.26893,0.63978,0.37744,0.31537,0.26893,0.63978,0.37744,0.21561,0.67423,0.77869,1.72327,0.80795,0.000800013,0.000800013,0.000800013
6,4610.04,0.97199,1.39946,1.6894,0.93997,0.26206,0.63417,0.36138,0.30275,0.26206,0.63417,0.36138,0.20726,0.66617,0.77106,1.80297,0.80538,0.000791767,0.000791767,0.000791767
7,5358.8,0.96394,1.3145,1.69642,0.94973,0.2943,0.5973,0.36759,0.3135,0.2943,0.5973,0.36759,0.21368,0.65787,0.75679,1.79446,0.80454,0.00078352,0.00078352,0.00078352
5,588.639,1.00064,1.36651,1.78911,0.94688,0.25955,0.56478,0.34669,0.29141,0.25955,0.56478,0.34669,0.19777,0.68066,0.76902,1.81028,0.80833,0.000800013,0.000800013,0.000800013
6,1196.65,0.96191,1.31325,1.72848,0.93774,0.52215,0.47215,0.36725,0.30989,0.52215,0.47215,0.36725,0.20857,0.66173,0.74529,1.7104,0.80539,0.000791767,0.000791767,0.000791767
7,1785.03,0.93854,1.26513,1.63104,0.93692,0.26169,0.62431,0.35793,0.30495,0.26169,0.62431,0.35793,0.1974,0.66419,0.75728,1.78185,0.80462,0.00078352,0.00078352,0.00078352
8,2361.33,0.92072,1.25157,1.60266,0.93107,0.54029,0.49551,0.38126,0.32375,0.54029,0.49551,0.38126,0.21477,0.65983,0.75082,1.71166,0.80513,0.000775273,0.000775273,0.000775273
9,2940.42,0.96912,1.3485,1.68629,0.93428,0.25774,0.64491,0.37211,0.31202,0.25774,0.64491,0.37211,0.21275,0.67527,0.78215,1.71989,0.80729,0.000767026,0.000767026,0.000767026
10,3526.12,0.93969,1.34025,1.63407,0.92879,0.2626,0.63904,0.35804,0.29982,0.2626,0.63904,0.35804,0.20942,0.66317,0.76936,1.80082,0.80462,0.00075878,0.00075878,0.00075878
11,4120.52,0.92555,1.25419,1.64766,0.93486,0.27227,0.59873,0.36185,0.30525,0.27227,0.59873,0.36185,0.20803,0.65961,0.75204,1.79647,0.80367,0.000750533,0.000750533,0.000750533
12,4708.22,0.90981,1.32502,1.65474,0.923,0.26599,0.60079,0.33793,0.28573,0.26599,0.60079,0.33793,0.19539,0.66554,0.74785,1.90904,0.80537,0.000742286,0.000742286,0.000742286
13,5286.69,0.93105,1.26246,1.65699,0.93714,0.30063,0.62943,0.3866,0.32449,0.30063,0.62943,0.3866,0.22373,0.65611,0.74976,1.75151,0.80363,0.00073404,0.00073404,0.00073404
14,5866.76,0.90142,1.2945,1.6371,0.91669,0.28788,0.6227,0.40252,0.34114,0.28788,0.6227,0.40252,0.24454,0.64859,0.75526,1.75337,0.80251,0.000725793,0.000725793,0.000725793
15,6450.88,0.91496,1.25426,1.61503,0.91829,0.31175,0.60831,0.39278,0.33261,0.31175,0.60831,0.39278,0.22799,0.65261,0.75315,1.71941,0.80216,0.000717546,0.000717546,0.000717546
16,7049.59,0.90217,1.22325,1.60061,0.92405,0.30439,0.60248,0.38257,0.32227,0.30439,0.60248,0.38257,0.22134,0.66146,0.74644,1.86798,0.80316,0.000709299,0.000709299,0.000709299
17,7636,0.91112,1.19183,1.58932,0.92733,0.28424,0.64313,0.39213,0.3304,0.28424,0.64313,0.39213,0.23175,0.65703,0.75397,1.80772,0.80215,0.000701053,0.000701053,0.000701053
18,8218.65,0.89184,1.19376,1.64628,0.92056,0.30655,0.63603,0.43103,0.36568,0.30655,0.63603,0.43103,0.26521,0.64671,0.7546,1.72562,0.80129,0.000692806,0.000692806,0.000692806
19,8800.01,0.88666,1.16929,1.58957,0.92297,0.2768,0.64873,0.36885,0.31142,0.2768,0.64873,0.36885,0.21657,0.6578,0.7496,1.79383,0.80374,0.000684559,0.000684559,0.000684559
20,9375.72,0.87227,1.20885,1.58319,0.90951,0.27046,0.63207,0.37012,0.31366,0.27046,0.63207,0.37012,0.21714,0.65317,0.74096,1.80003,0.80306,0.000676313,0.000676313,0.000676313
21,9958.06,0.8559,1.1475,1.53844,0.90991,0.29794,0.62562,0.40587,0.3437,0.29794,0.62562,0.40587,0.24336,0.64734,0.75941,1.71506,0.80206,0.000668066,0.000668066,0.000668066
22,10550.1,0.89477,1.21606,1.56522,0.91872,0.28396,0.61374,0.41144,0.34601,0.28396,0.61374,0.41144,0.24297,0.65799,0.77245,1.73581,0.8038,0.000659819,0.000659819,0.000659819
23,11137.7,0.86,1.14113,1.53287,0.91184,0.27234,0.61216,0.38384,0.32511,0.27234,0.61216,0.38384,0.22692,0.64749,0.75673,1.75981,0.8029,0.000651573,0.000651573,0.000651573
24,11726,0.88022,1.13582,1.49459,0.90964,0.3053,0.60666,0.40934,0.34773,0.3053,0.60666,0.40934,0.23838,0.65059,0.75207,1.73363,0.80182,0.000643326,0.000643326,0.000643326
25,12317.3,0.86337,1.17756,1.52119,0.90751,0.2902,0.65659,0.39138,0.3362,0.2902,0.65659,0.39138,0.22692,0.64709,0.75044,1.69232,0.80182,0.000635079,0.000635079,0.000635079
26,12897.9,0.84343,1.12831,1.48668,0.90241,0.28628,0.62997,0.3997,0.33903,0.28628,0.62997,0.3997,0.23684,0.65161,0.75895,1.76368,0.80224,0.000626832,0.000626832,0.000626832
27,13479.7,0.84252,1.10361,1.50113,0.90663,0.25426,0.6168,0.39668,0.33227,0.25426,0.6168,0.39668,0.2339,0.65641,0.73655,1.75902,0.80378,0.000618586,0.000618586,0.000618586
28,14069.6,0.83232,1.10029,1.46113,0.90173,0.2736,0.63241,0.40998,0.34878,0.2736,0.63241,0.40998,0.24718,0.64279,0.75522,1.7124,0.80084,0.000610339,0.000610339,0.000610339
29,14652.5,0.82978,1.08997,1.49042,0.89997,0.28531,0.60133,0.37068,0.31473,0.28531,0.60133,0.37068,0.21191,0.6509,0.74638,1.88899,0.8007,0.000602092,0.000602092,0.000602092
30,15244.1,0.84242,1.13514,1.48945,0.90111,0.24002,0.60848,0.34769,0.29364,0.24002,0.60848,0.34769,0.20649,0.64233,0.75667,1.80044,0.80143,0.000593846,0.000593846,0.000593846
31,15829.9,0.83351,1.1309,1.47705,0.89932,0.27953,0.64199,0.38417,0.33019,0.27953,0.64199,0.38417,0.22887,0.63398,0.74172,1.76079,0.80141,0.000585599,0.000585599,0.000585599
32,16411,0.8324,1.1004,1.4913,0.89754,0.26619,0.62937,0.37809,0.32194,0.26619,0.62937,0.37809,0.21911,0.64325,0.72647,1.77488,0.80199,0.000577352,0.000577352,0.000577352
33,16987.6,0.8353,1.10812,1.46644,0.90642,0.29174,0.64017,0.40668,0.34596,0.29174,0.64017,0.40668,0.23319,0.64619,0.73832,1.78795,0.8023,0.000569106,0.000569106,0.000569106
34,17575.6,0.82475,1.08283,1.45012,0.90205,0.25975,0.60661,0.3618,0.30623,0.25975,0.60661,0.3618,0.20694,0.63721,0.73519,1.77727,0.80132,0.000560859,0.000560859,0.000560859
