                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89939,                 0.9911,                 1.6841,                0.86407,                0.87271,                0.20238,                0.20598,                0.12882,                0.87271,                0.20238,                0.20568,                0.10397,                 1.4527,                 6.3731,                 8.9103,                0.99655,               0.070526,              0.0032749,              0.0032749
                      2,                 1.1285,                 1.2493,                 2.2701,                 0.9392,                0.00248,                0.00434,                0.00104,                0.00084,                 0.0026,                0.00174,                0.00057,                0.00029,                 2.5632,                 742.53,                 181.83,                 1.6006,               0.040395,              0.0064773,              0.0064773
                      3,                 1.1126,                  1.224,                 2.1582,                0.93168,                0.23804,                0.40293,                0.23774,                0.16514,                0.23804,                0.40293,                0.23698,                 0.1143,                 1.1615,                 1.9596,                 24.294,                0.93927,               0.010133,              0.0095478,              0.0095478
                      4,                 1.1594,                 1.2057,                 2.1492,                0.94871,                0.37331,                0.31929,                0.11282,                0.07308,                0.37242,                0.30651,                0.10826,                0.04482,                 1.3793,                 2.1067,                 13.144,                0.97344,               0.009406,               0.009406,               0.009406
                      5,                 1.0706,                 1.1253,                 2.0329,                0.92839,                 0.4813,                0.34183,                  0.202,                0.15295,                 0.4813,                0.34183,                0.20213,                0.10167,                 1.0244,                 1.3688,                 7.8099,                0.87733,               0.009208,               0.009208,               0.009208
                      6,                 1.0241,                 1.0734,                 1.9216,                0.91179,                0.62031,                0.29526,                0.21681,                0.15586,                0.61928,                0.29439,                0.21614,                0.10487,                 1.0774,                 1.5673,                 5.1677,                0.89283,                0.00901,                0.00901,                0.00901
                      7,                 1.0213,                 1.0221,                 1.8996,                0.92131,                0.48358,                0.50134,                 0.2905,                0.21537,                0.48591,                0.50134,                0.29013,                0.13299,                0.96175,                 1.0912,                 2.3567,                 0.8561,               0.008812,               0.008812,               0.008812
                      8,                 0.9554,                0.96073,                 1.8196,                 0.8853,                0.24998,                0.64799,                 0.3142,                0.22547,                0.24702,                0.64633,                0.31304,                0.15077,                0.97442,                 1.2061,                 2.3053,                0.85702,               0.008614,               0.008614,               0.008614
                      9,                0.98849,                0.99315,                 1.7729,                0.89401,                0.72925,                 0.3223,                0.34075,                0.26253,                0.72925,                 0.3223,                0.34075,                0.16418,                0.86422,                 1.1648,                  2.392,                 0.8482,               0.008416,               0.008416,               0.008416
                     10,                0.93116,                0.92258,                 1.7155,                0.88426,                0.41831,                0.50886,                0.25635,                0.19685,                0.41748,                0.50713,                0.25583,                0.12459,                0.83806,                 1.1773,                 2.3471,                0.84212,               0.008218,               0.008218,               0.008218
                     11,                0.91989,                0.93695,                  1.701,                0.89105,                0.70207,                0.29774,                0.29819,                0.23271,                0.70207,                0.29774,                 0.2981,                 0.1447,                0.82409,                  1.207,                 2.2013,                0.83403,                0.00802,                0.00802,                0.00802
                     12,                0.86558,                0.84959,                 1.6764,                0.88081,                 0.4735,                0.53105,                0.32324,                0.25914,                 0.4735,                0.53105,                0.32284,                0.17144,                0.85774,                  2.174,                 2.2724,                0.95863,               0.007822,               0.007822,               0.007822
                     13,                0.88601,                0.91309,                 1.6908,                0.87701,                0.43469,                0.57916,                0.30845,                0.24127,                0.43429,                0.57829,                0.30787,                0.15635,                0.83616,                 1.1133,                 1.9666,                0.83168,               0.007624,               0.007624,               0.007624
                     14,                0.87121,                0.91088,                 1.6407,                0.88069,                0.43469,                0.57916,                0.30845,                0.24127,                0.43429,                0.57829,                0.30787,                0.15635,                 3.0946,                 1226.4,                 12.083,                 9.9901,               0.007426,               0.007426,               0.007426
                     15,                0.87485,                0.86724,                 1.6041,                0.87798,                0.22145,                0.02414,                0.01212,                0.00999,                0.23094,                0.03605,                0.01301,                0.00758,                 3.8857,                 162.94,                 7.9547,                 21.428,               0.007228,               0.007228,               0.007228
                     16,                0.84472,                0.85513,                 1.6244,                0.86499,                0.46591,                0.42691,                0.28302,                 0.2235,                0.46591,                0.42691,                0.28267,                0.13508,                0.78822,                 1.1307,                 2.1034,                0.82811,                0.00703,                0.00703,                0.00703
                     17,                 0.8347,                0.83201,                 1.5231,                0.86992,                0.48499,                0.52295,                 0.3418,                0.27206,                0.48499,                0.52295,                0.34136,                0.17459,                0.80989,                 1.1479,                 2.1191,                0.82824,               0.006832,               0.006832,               0.006832
                     18,                0.83494,                0.81534,                 1.5208,                0.87194,                0.24452,                0.61509,                0.32882,                0.26919,                0.24407,                0.61422,                0.32854,                0.17916,                0.73437,                0.91215,                 1.9717,                0.81641,               0.006634,               0.006634,               0.006634
                     19,                0.82487,                0.81388,                 1.5153,                0.86858,                0.20819,                0.53867,                0.34749,                0.28079,                0.20819,                0.53867,                0.34749,                0.19299,                0.75613,                0.92811,                 2.1013,                 0.8192,               0.006436,               0.006436,               0.006436
                     20,                0.81042,                0.85733,                 1.4337,                  0.856,                0.51548,                0.52052,                0.35216,                0.27625,                0.51548,                0.52052,                0.35205,                0.16819,                0.79637,                0.99013,                 2.0873,                0.82416,               0.006238,               0.006238,               0.006238
                     21,                0.82439,                 0.8026,                 1.4907,                0.86814,                0.53663,                0.47085,                0.37424,                0.29785,                0.53772,                0.46998,                 0.3737,                0.18689,                0.77132,                 1.0694,                 1.7768,                0.81868,                0.00604,                0.00604,                0.00604
                     22,                0.77146,                0.75752,                 1.4279,                0.85847,                0.50938,                0.50029,                0.33631,                0.26961,                0.50938,                0.50029,                0.33631,                 0.1588,                0.77672,                 1.0097,                 1.8369,                0.81685,               0.005842,               0.005842,               0.005842
                     23,                0.76484,                0.81444,                 1.3859,                0.85505,                0.22982,                0.59584,                0.31138,                0.25917,                0.22556,                0.59245,                0.31087,                0.16702,                0.66478,                0.90115,                 2.1765,                0.80759,               0.005644,               0.005644,               0.005644
                     24,                0.78019,                 0.7481,                 1.3976,                0.85192,                   0.57,                 0.4945,                0.40825,                0.33174,                   0.57,                 0.4945,                0.40829,                0.20665,                0.74967,                0.91529,                 1.8017,                0.81671,               0.005446,               0.005446,               0.005446
                     25,                0.78134,                 0.7774,                 1.3726,                 0.8542,                0.28025,                0.61625,                 0.3818,                0.31206,                0.28025,                0.61625,                0.38081,                0.19539,                0.70945,                0.87635,                 1.8471,                0.80944,               0.005248,               0.005248,               0.005248
                     26,                0.78435,                0.77983,                 1.3554,                0.84952,                0.56888,                0.49228,                0.37246,                0.31053,                0.56888,                0.49228,                0.37236,                 0.2027,                0.68773,                0.93675,                 1.7982,                 0.8083,                0.00505,                0.00505,                0.00505
                     27,                0.76228,                0.78828,                 1.3364,                0.84808,                0.24165,                0.59635,                0.33158,                0.27809,                0.24165,                0.59635,                0.33147,                 0.1813,                0.65178,                0.82502,                  1.957,                0.80415,               0.004852,               0.004852,               0.004852
                     28,                0.75237,                0.78386,                 1.3825,                0.84301,                0.21645,                0.61935,                0.34557,                0.27197,                0.21645,                0.61935,                0.34551,                0.17004,                0.77256,                0.96122,                 2.0379,                0.81758,               0.004654,               0.004654,               0.004654
                     29,                0.78887,                0.80389,                 1.3494,                0.86287,                0.50926,                0.50395,                0.35909,                0.30006,                0.50926,                0.50395,                0.35839,                0.18415,                0.68628,                0.90071,                 1.9198,                0.80735,               0.004456,               0.004456,               0.004456
                     30,                0.73069,                0.76859,                   1.33,                 0.8504,                0.52905,                0.46907,                0.33634,                0.28187,                0.52905,                0.46907,                0.33625,                0.19037,                0.67616,                 0.8989,                 1.9635,                0.80574,               0.004258,               0.004258,               0.004258
                     31,                0.74487,                0.73258,                 1.2789,                0.84337,                0.29546,                0.64217,                0.38003,                0.31359,                0.29546,                0.64217,                 0.3796,                0.20373,                0.69537,                0.91765,                 1.7891,                0.80577,                0.00406,                0.00406,                0.00406
                     32,                0.72859,                 0.7146,                 1.3088,                0.85111,                 0.5744,                0.49386,                0.37698,                0.31581,                 0.5744,                0.49386,                0.37667,                0.19759,                0.68762,                0.96502,                 1.7177,                0.80763,               0.003862,               0.003862,               0.003862
                     33,                0.73158,                0.74818,                 1.2726,                0.84985,                0.50068,                 0.5247,                0.36916,                0.30765,                0.50068,                 0.5247,                0.36908,                0.19617,                0.67325,                0.85704,                 1.7879,                0.80334,               0.003664,               0.003664,               0.003664
                     34,                0.72316,                0.75439,                 1.2563,                0.85814,                0.31006,                0.62705,                0.41792,                 0.3549,                0.30966,                0.62618,                0.41702,                0.21978,                0.65158,                0.88227,                 1.7408,                0.80474,               0.003466,               0.003466,               0.003466
                     35,                0.70102,                0.71042,                 1.2571,                0.83753,                0.53593,                0.55414,                 0.3886,                0.32567,                0.53593,                0.55414,                0.38768,                0.20433,                0.62723,                0.86429,                 1.7823,                0.79983,               0.003268,               0.003268,               0.003268
                     36,                0.69171,                  0.724,                 1.2336,                0.83818,                0.27484,                0.62729,                0.35779,                0.30013,                0.27658,                0.62679,                0.35682,                0.18534,                0.63834,                  0.878,                 1.7767,                0.79879,                0.00307,                0.00307,                0.00307
                     37,                 0.7029,                0.70203,                 1.2138,                0.84122,                 0.2956,                0.65581,                0.37471,                0.31095,                 0.2956,                0.65581,                0.37471,                0.20392,                 0.6574,                 0.8913,                 1.8122,                0.79907,               0.002872,               0.002872,               0.002872
                     38,                0.69317,                0.70391,                 1.2224,                0.83594,                0.54953,                0.56053,                0.40689,                 0.3405,                0.54953,                0.56053,                0.40645,                0.22288,                0.64604,                0.88582,                 1.8634,                0.80137,               0.002674,               0.002674,               0.002674
