epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,843.635,2.11185,3.94184,3.47932,1.41634,0.45006,0.40712,0.31492,0.25893,0.45006,0.40712,0.31478,0.16305,0.72148,0.86081,2.03117,0.81026,0.000272795,0.000272795,0.000272795
2,2370.58,1.64482,3.16168,2.71894,1.22966,0.46849,0.49557,0.3321,0.26898,0.46849,0.49557,0.33199,0.17286,0.75711,0.90769,1.90825,0.81325,0.000528664,0.000528664,0.000528664
3,3278.6,1.48026,2.72706,2.40692,1.15838,0.4947,0.54443,0.35957,0.29286,0.4947,0.54443,0.35934,0.18635,0.75951,0.95209,1.81039,0.81589,0.000762541,0.000762541,0.000762541
4,3964.47,1.40645,2.50365,2.26874,1.12288,0.5096,0.48753,0.35466,0.28763,0.5096,0.48753,0.35465,0.18278,0.78335,0.96254,1.80536,0.81886,0.00073404,0.00073404,0.00073404
5,4775.16,1.36011,2.28456,2.12056,1.08573,0.29024,0.58797,0.35586,0.29062,0.29024,0.58797,0.35586,0.19058,0.76513,0.88953,1.78633,0.81813,0.000701053,0.000701053,0.000701053
6,5587.6,1.31105,2.17247,2.07285,1.07077,0.49494,0.50302,0.36021,0.2947,0.49494,0.50302,0.36021,0.18825,0.77263,0.91701,1.77622,0.81986,0.000668066,0.000668066,0.000668066
7,6389.7,1.25921,2.03135,2.01928,1.0585,0.24273,0.59221,0.34687,0.28354,0.24273,0.59221,0.34687,0.18481,0.76874,0.88123,1.84353,0.8187,0.000635079,0.000635079,0.000635079
8,7207.3,1.20864,1.96623,2.03169,1.02994,0.23928,0.55986,0.33266,0.27488,0.23928,0.55986,0.33266,0.17494,0.75466,0.86594,1.97929,0.81666,0.000602092,0.000602092,0.000602092
9,7998.11,1.21296,1.85618,1.94602,1.0307,0.26943,0.60045,0.35767,0.29447,0.26943,0.60045,0.35767,0.18715,0.74481,0.85329,1.7557,0.81702,0.000569106,0.000569106,0.000569106
10,8703.06,1.18869,1.85646,1.94455,1.02009,0.2527,0.59366,0.36238,0.30013,0.2527,0.59366,0.36238,0.19172,0.74151,0.85962,1.7726,0.81589,0.000536119,0.000536119,0.000536119
11,9263.01,1.17372,1.76784,1.89065,1.00246,0.2703,0.64074,0.36299,0.29799,0.2703,0.64074,0.36299,0.19148,0.74952,0.89632,1.71856,0.81545,0.000503132,0.000503132,0.000503132
12,9809.7,1.13978,1.72254,1.92015,0.99684,0.26784,0.60838,0.36564,0.29958,0.26784,0.60838,0.36564,0.19503,0.76744,0.86164,1.76961,0.81648,0.000470145,0.000470145,0.000470145
